//--------------------------------------------------------------------------
// słowo klucz(x);dopełniacz(1);celownik(2);biernik(3);więcej jeśli trzeba
// przykład {lookup: {0}; Case\Singular; 3}
//--------------------------------------------------------------------------


przemowa lidera;przemowy lidera;przemowie lidera;przemowę lidera
nóż;noża;nożowi;nóż
maczuga;maczugi;maczudze;maczugę
ikwa;ikwy;ikwie;ikwę
włócznia;włóczni;włóczni;włócznię

// Penoxycyline.xml
penoksycylina;penoksycyliny;penoksycylinie;penoksycylinę

// Plants_Cave.xml
stołek świetlisty;stołka świetlistego;stołkowi świetlistemu;stołek świetlisty
aksamitówka meduzowata;aksamitówki meduzowatej;aksamitówce meduzowatej;aksamitówkę meduzowatą
mechówka niebieska;mechówki niebieskiej;mechówce niebieskiej;mechówkę niebieską

// Plants_Cultivated_Decorative.xml
liliowiec;liliowca;liliowcowi;liliowca
róża;róży;róży;różę

// Plants_Cultivated_Farm.xml
krzew bawełny;krzewu bawełny;krzewowi bawełny;krzew bawełny
włosak diabelski;włosaka diabelskiego;włosakowi diabelskiemu;włosaka diabelskiego
korzeń leczniczy;korzenia leczniczego;korzeniowi leczniczemu;korzeń leczniczy
krzew chmielu;krzewu chmielu;krzewowi chmielu;krzew chmielu
krzew truskawek;krzewu truskawek;krzewowi truskawek;krzew truskawek
sadzonka kukurydzy;sadzonki kukurydzy;sadzonce kukurydzy;sadzonkę kukurydzy
sadzonka ziemniaka;sadzonki ziemniaka;sadzonce ziemniaka;sadzonkę ziemniaka
sadzonka psychoidu;sadzonki psychoidu;sadzonce psychoidu;sadzonkę psychoidu
sadzonka ryżu;sadzonki ryżu;sadzonce ryżu;sadzonkę ryżu
sadzonka zioła;sadzonki zioła;sadzonce zioła;sadzonkę zioła
drzewo kakaowca;drzewa kakaowca;drzewu kakaowca;drzewo kakaowca

// Plants_Special.xml
krzew ambrozji;krzewu ambrozji;krzewowi ambrozji;krzew ambrozji 
spalone drzewo;spalonego drzewa;spalonemu drzewu;spalone drzewo

// Plants_Wild_Arid.xml
kaktus karłowaty;kaktusa karłowatego;kaktusowi karłowatemu;kaktusa karłowatego
agawa;agawy;agawie;agawę
karnegia olbrzymia;karnegii olbrzymiej;karnegii olbrzymiej;karnegię olbrzymią
dracena smocza;draceny smoczej;dracenie smoczej;dracenę smoczą

// Plants_Wild_General.xml
krzak;krzaka;krzakowi;krzak
dziki korzeń leczniczy;dzikiego korzenia leczniczego;dzikiemu korzeniowi leczniczemu;dziki korzeń leczniczy
trawa;trawy;trawie;trawę
wysoka trawa;wysokiej trawy;wysokiej trawie;wysoką trawę
ciernie;cierni;cierniom;ciernie

// Plants_Wild_Swamp.xml
cyprys;cyprysa;cyprysowi;cyprysa
klon;klonu;klonowi;klon
winorośl;winorośli;winorośli;winorośl
wierzba;wierzby;wierzbie;wierzbę

// Plants_Wild_Temperate.xml
traganek;traganka;tragankowi;traganek
krzew jagód;krzewu jagód;krzewowi jagód;krzew jagód
mlecz;mlecza;mleczowi;mlecza
mech;mchu;mchowi;mech
dąb;dębu;dębowi;dąb
brzoza;brzozy;brzozie;brzozę
sosna;sosny;sośnie;sosnę
topola;topoli;topoli;topolę

// Plants_Wild_Tropical.xml
alokazja;alokazji;alokazji;alokazję
kliwia;kliwii;kliwii;kliwię
bukietnica olbrzymia;bukietnicy olbrzymiej;bukietnicy olbrzymiej;bukietnice olbrzymią
cekropia;cekropii;cekropii;cekropię
teczyna;teczyny;teczynie;teczynę
drzewo bambusowe;drzewa bambusowego;drzewu bambusowemu;drzewo bambusowe
drzewo palmowe;drzewa palmowego;drzewu palmowemu;drzewo palmowe
niskie krzewy;niskich krzewów;niskim krzewom;niskie krzewy

// Psychite_Flake.xml
płatki psychitu;płatków psychitu;płatkom psychitu;płatki psychitu

// Psychite_Tea.xml
herbata psychitowa;herbaty psychitowej;herbacie psychitowej;herbatę psychitową

// Psychite_Yayo.xml
yayo;yayo;yayo;yayo

// Races_Animal_Bears.xml
niedźwiedź grizli;niedźwiedzia grizli;niedźwiedziowi grizli;niedźwiedzia grizli
niedźwiedź polarny;niedźwiedzia polarnego;niedźwiedziowi polarnemu;niedźwiedzia polarnego

// Races_Animal_BigBirds.xml
kazuar;kazuara;kazuarowi;kazuara
struś;strusia;strusiowi;strusia
emu;emu;emu;emu

// Races_Animal_BigCats.xml
ryś;rysia;rysiowi;rysia
puma;pumy;pumie;pumę
pantera;pantery;panterze;panterę

// Races_Animal_CatGroup.xml
kot;kota;kotu;kota
husky;husky;husky;husky
labrador;labradora;labradorowi;labradora
york;yorka;yorkowi;yorka
świnka morska;świnki morskiej;śwince morskiej;świnkę morską
małpa;małpy;małpie;małpę

// Races_Animal_ChickenGroup.xml
indyk;indyka;indykowi;indyka
kura;kury;kurze;kurę
kaczka;kaczki;kaczce;kaczkę
gęś;gęsi;gęsi;gęś

// Races_Animal_CowGroup.xml
bizon;bizona;bizonowi;bizona
renifer;renifera;reniferowi;renifera
osioł;osła;osłu;osła
dromader;dromadera;dromaderowi;dromadera
słoń;słonia;słoniowi;słonia
łoś;łosia;łosiowi;łosia
koń;konia;koniowi;konia
nosorożec;nosorożca;nosorożcowi;nosorożca
jak;jaka;jakowi;jaka
bumalopa;bumalopy;bumalopie;bumalopę
krowa;krowy;krowie;krowę
koza;kozy;kozie;kozę
muffalo;mufallo;mufallo;mufallo

// Races_Animal_Hares.xml
zając;zająca;zającowi;zająca
zając śnieżny;zająca śnieżnego; zającowi śnieżnemu; zająca śnieżnego

// Races_Animal_Insect.xml
megaskarabeusz;megaskarabeusza;megaskarabeuszowi;megaskarabeusza
megapająk;megapająka;megapająkowi;megapająka
spelopeda;spelopedy;spelopedzie;spelopedę

// Races_Animal_MiscGroup.xml
alfabóbr;alfabobra;alfabobrowi;alfabobra
żółw;żółwia;żółwiowi;żółwia
kobra;kobry;kobrze;kobrę
thrumbo;Thrumbo;Thrumbo;Thurmbo

// Races_Animal_PigGroup.xml
jeleń;jelenia;jeleniowi;jelenia
koziorożec;koziorożca;koziorożcowi;koziorożca
dzik;dzika;dzikowi;dzika
szynszyla;szynszyli;szynszyli;szynszylę
gazela;gazeli;gazeli;gazelę
świnia;świni;świni;świnię

// Races_Animal_SheepGroup.xml
megaleniwiec;megaleniwca;megaleniwcowi;megaleniwca
alpaka;alpaki;alpace;alpakę
kapibara;kapibary;kapibarze;kapibarę
owca;owcy;owcy;owcę

// Races_Animal_SquirrelGroup.xml
wybuchowy szczur;wybuchowego szczura;wybuchowemu szczurowi;wybuchowego szczura
szop;szopa;szopowi;szopa
szczur;szczura;szczurowi;szczura
iguana;iguany;iguanie;iguanę
wiewiórka;wiewiórki;wiewiórce;wiewiórkę

// Races_Animal_WargGroup.xml
warg;warga;wargowi;warga

// Races_Animal_WildCanines.xml
lis polarny;lisa polarnego;lisowi polarnemu;lisa polarnego
fenek;fenka;fenkowi;fenka
lis;lisa;lisowi;lisa
wilk polarny;wilka polarnego;wilkowi polarnemu;wilka polarnego
wilk;wilka;wilkowi;wilka

// Races_Humanlike.xml
człowiek;człowieka;człowiekowi;człowieka

// Races_Mechanoid.xml
wij;wija;wijowi;wija
włóczniarz;włóczniarza;włóczniarzowi;włóczniarza
pikinier;pikiniera;pikinierowi;pikiniera
kosiarz;kosiarza;kosiarzowi;kosiarza
termit;termita;termitowi;termita

// RangedIndustrial.xml
pocisk karabinu szturmowego;pocisku karabinu szturmowego;pociskowi karabinu szturmowego;pocisk karabinu szturmowego
pocisk autom. pistoletu;pocisku autom. pistoletu;pociskowi autom. pistoletu;pocisk autom. pistoletu
pocisk sztucera;pocisku sztucera;pociskowi sztucera;pocisk sztucera
pocisk wyrzutni EMP;pocisku wyrzutni EMP;pociskowi wyrzutni EMP;pocisk wyrzutni EMP
pocisk ciężkiego PMu;pocisku ciężkiego PMu;pociskowi ciężkiemu PMu;pocisk ciężkiemu PMu
pocisk LKM;pocisku LKMu;pociskowi LKMu;pocisk LKM
pocisk pistoletu maszynowego;pocisku pistoletu maszynowego;pociskowi pistoletu maszynowego;pocisk pistoletu maszynowego
pocisk miniguna;pocisku miniguna;pociskowi miniguna;pocisk miniguna
pocisk rewolweru;pocisku rewolweru;pociskowi rewolweru;pocisk rewolweru
śrut strzelby;śruta strzelby;śrutowi strzelby;śrut strzelby
pocisk wyrzutni dymnej;pocisku wyrzutni dymnej;pociskowi wyrzutni dymnej;pocisk wyrzutni dymnej
pocisk snajperski;pocisku snajperskiego;pociskowi snajperskiemu;pocisk snajperski
karabin szturmowy;karabinu szturmowego;karabinowi szturmowemu;karabin szturmowy
pistolet automatyczny;pistoletu automatycznego;pistoletowi automatycznemu;pistolet automatyczny
sztucer;sztucera;sztucerowi;sztucer
strzelba łańcuchowa;strzelby łańcuchowej;strzelbie łańcuchowej;strzelba łańcuchowa
wyrzutnia EMP;wyrzutni EMP;wyrzutni EMP;wyrzutnię EMP
ciężki PM;ciężkiego PMu;ciężkiemu PMu;ciężki PM
wyrzutnia zapalająca;wyrzutni zapalającej;wyrzutni zapalającej;wyrzutnię zapalającą
LKM;LKMu;LKMu;LKM
pistolet maszynowy;pistoletu maszynowego;pistoletu maszynowemu;pistolet maszynowy
minigun;miniguna;minigunowi;minigun
strzelba powtarzalna;strzelby; powtarzalnej;strzelbie powtarzalnej;strzelbę łańcuchową
rewolwer;rewolweru;rewolwerowi;rewolwer
wyrzutnia dymna;wyrzutni dymnej;wyrzutni dymnej;wyrzutnię dymną
karabin snajperski;karabinu snajperskiego;karabinowi snajperskiemu;karabin snajperski

// RangedIndustrialConsumable.xml
rakieta kataklizmu;rakiety kataklizmu;rakiecie kataklizmu;rakietę kataklizmu
rakieta;rakiety;rakiecie;rakietę
wyrzutnia rakiet kataklizmu;wyrzutni rakiet kataklizmu;wyrzutni rakiet kataklizmu;wyrzutnię rakiet kataklizmu
wyrzutnia trój-rakietowa;wyrzutni trój-rakietowej;wyrzutni trój-rakietowej;wyrzutnię trój-rakietową

// RangedIndustrialGrenades.xml
granat EMP;granatu EMP;granatowi EMP;granat EMP
granat odłamkowy;granatu odłamkowego;granatowi odłamkowemu;granat odłamkowy
koktajl Mołotowa;koktajlu Mołotowa;koktajlowi Mołotowa;koktajl Mołotowa
granaty EMP;granatów EMP;granatom EMP;granaty EMP
granaty odłamkowe;granatów odłamkowych;granatom odłamkowym;granaty odłamkowe
koktajle Mołotowa;koktajli Mołotowa;koktajlom Mołotowa;koktajle Mołotowa

// RangedMechanoid.xml
ciężki pocisk pulsacyjny;ciężkiego pocisku pulsacyjnego;ciężkiemu pociskowi pulsacyjnemu;ciężki pocisk pulsacyjny
pocisk inferno;pocisku inferno;pociskowi inferno;pocisk inferno
pocisk iglarki;pocisku iglarki;pociskowi iglarki;pocisk iglarki
ciężki blaster pulsacyjny;ciężkiego blastera pulsacyjnego;ciężkiemu blasterowi pulsacyjnemu;ciężki blaster pulsacyjny
iglarka;iglarki;iglarce;iglarkę
działo inferno;działa inferno;działu inferno;działo inferno

// RangedNeolithic.xml
długi łuk;długiego łuku;długiemu łukowi;długi łuk
łuk refleksyjny;łuku refleksyjnego;łukowi refleksyjnemu;łuk refleksyjny
krótki łuk;krótkiego łuku;krótkiemu łuku;krótki łuk
oszczep;oszczepu;oszczepowi;oszczep
ciężka strzała;ciężkiej strzały;ciężkiej strzale;ciężką strzałę
strzała refleksyjna;strzały refleksyjnej;strzale refleksyjnej;strzałę refleksyjną
krótka strzała;krótkiej strzały;krótkiej strzale;krótką strzałę
oszczepy;oszczepów;oszczepom;oszczepy

// RangedSpacer.xml
pocisk lancy pulsacyjnej;pocisku lancy pulsacyjnej;pociskowi lancy pulsacyjnej;pocisk lancy pulsacyjnej
pocisk karabinu pulsacyjnego;pocisku karabinu pulsacyjnego;pociskowi karabinu pulsacyjnego;pocisk karabinu pulsacyjnego
karabin pulsacyjny;karabinu pulsacyjnego;karabinowi pulsacyjnemu;karabin pulsacyjny
lanca pulsacyjna;lancy pulsacyjnej;lancy pulsacyjnej;lancę pulsacyjną

// RangedSpecial.xml
oznacznik bombardowania orbitalnego;oznacznika bombardowania orbitalnego;oznacznikowi bombardowania orbitalnego;oznacznik bombardowania orbitalnego
oznacznik orbitalnego działa inferno;oznacznika orbitalnego działa inferno;oznacznikowi orbitalnego działa inferno;oznacznik orbitalnego działa inferno
generator tornada;generatora tornada;generatorowi tornada;generator tornada

// Smokeleaf.xml
joint;jonta;jointu;jointa

// Things_Special.xml
ogień;ognia;ogniu;ognień
kapsuła ratunkowa;kapsuły ratunkowej;kapsule ratunkowej;kapsułę ratunkową
iskra;iskry;iskrze;iskrę

// Various_Stone.xml
odłamek granitu;odłamka granitu;odłamkowi granitu;odłamek granitu
odłamek wapienia;odłamka wapienia;odłamkowi wapienia;odłamek wapienia
odłamek marmuru;odłamka marmuru;odłamkowi marmuru;odłamek marmuru
odłamek piaskowca;odłamka piaskowca;odłamkowi piaskowca;odłamek piaskowca
odłamek metalu;odłamka metalu;odłamkowi metalu;odłamek metalu
odłamek łupku;odłamka łupku;odłamkowi łupku;odłamek łupku
granit;granitu;granitowi;granit
wapień;wapienia;wapieniowi;wapień
marmur;marmuru;marmurowi;marmur
piaskowiec;piaskowca;piaskowcowi;piaskowiec
łupek;łupku;łupkowi;łupek
wygładzony granit;wygładzonego granitu;wygładzonemu granitowi;wygładzony granit
wygładzony wapień;wygładzonego wapienia;wygładzonemu wapniowi;wygładzony wapień
wygładzony marmur;wygładzonego marmuru;wygładzonemu marmurowi;wygładzony marmur
wygładzony piaskowiec;wygładzonego piaskowca;wygładzonemu piaskowcowi;wygładzony piaskowiec
wygładzony łupek;wygładzonego łupku;wygładzonemu łupkowi;wygładzony łupek
bloki granitu;bloków granitu;blokom granitu;bloki granitu
bloki wapienia;bloków wapienia;blokom wapienia;bloki wapienia
bloki marmuru;bloków marmuru;blokom marmuru;bloki marmuru
bloki piaskowca;bloków piaskowca;blokom piaskowca;bloki piaskowca
bloki łupku;bloków piaskowca;blokom piaskowca;bloki piaskowca

// WakeUp.xml
pobudzacz;pobudzacza;pobudzaczowi;pobudzacz

// Weapons_Breach.xml
bomba uderzeniowa;bomby uderzeniowej;bombie uderzeniowej;bombę uderzeniową
działo uderzeniowe;działa uderzeniowego;działu uderzeniowemu;działo uderzeniowe

//----------------------------------------
//---------- ROYALTY - ThingDef ----------
//----------------------------------------
// Buildings_ConditionCausers.xml
regulator klimatu;regulatora klimatu;regulatorowi klimatu;regulator klimatu
dynamo EMI;dynama EMI;dynamu EMI;dynamo EMI
brzęczyk PSI;brzęczyka PSI;brzęczykowi PSI;brzęczyk PSI
generator tłumienia PSI;generatora tłumienia PSI;generatorowi tłumienia PSI;generator tłumienia PSI
rozpylacz dymu;rozpylacza dymu;rozpylaczowi dymu;rozpylacz dymu
bloker słońca;blokera słońca;blokerowi słońca;bloker słońca
rozpylacz toksyn;rozpylacza toksyn;rozpylaczowi toksyn;rozpylacz toksyn
kontroler pogody;kontrolera pogody;kontrolerowi pogody;kontroler pogody

// Buildings_Exotic.xml
wypalająca się osłona nisko-kątowa;wypalającej się osłony nisko-kątowej;wypalającej się osłonie nisko-kątowej;wypalającą się osłonę nisko-kątową
prom;promu;promowi;prom
rozbity prom;rozbitego promu;rozbitemu promowi;rozbity prom

// Buildings_Furniture.xml
koksownik;koksownika;koksownikowi;koksownik
parawan;parawanu;parawanowi;parawan
wielki tron medytacyjny;wielkiego tronu medytacyjnego;wielkiemu tronowi medytacyjnemu;wielki tron medytacyjny
tron medytacyjny;tronu medytacyjnego;tronowi medytacyjnemu;tron medytacyjny

// Buildings_Mech.xml
defoliator;defoliatora;defoliatorowi;defoliator
węzeł mechanoidów;węzła mechanoidów;węzłowi mechanoidów;węzeł mechanoidów
niestabilne ogniwo zasilające;niestabilnego ogniwa zasilającego;niestabilnemu ogniwu zasilającemu;niestabilne ogniwo zasilające

// Buildings_Mech_Activators.xml
aktywator czasowy;aktywatora czasowego;aktywatorowi czasowemu;aktywator czasowy
aktywator zbliżeniowy;aktywatora zbliżeniowego;aktywatorowi zbliżeniowemu;aktywator zbliżeniowy

// Buildings_Mech_ShieldGenerators.xml
mechaniczna osłona nisko-kątowa;mechanicznej osłony nisko-kątowej;mechanicznej osłonie nisko-kątowej;mechaniczną osłonę nisko-kątową
mechaniczna osłona wysoko-kątowa;mechanicznej osłony wysoko-kątowej;mechanicznej osłonie wysoko-kątowej;mechaniczną osłonę wysoko-kątową

// Buildings_Mech_Spawners.xml
monter mechanoidów;montera mechanoidów;monterowi mechanoidów;monter mechanoidów
kapsuła mechanoidów;kapsuły mechanoidów;kapsule mechanoidów;kapsułę mechanoidów
nadajnik zrzutu mechanoidów;nadajnika zrzutu mechanoidów;nadajnikowi zrzutu mechanoidów;nadajnik zrzutu mechanoidów

// Buildings_Mech_Turrets.xml
auto-moździerz;auto-moździerza;auto-moździerzowi;auto-moździerz
mini-pocisk;mini-pocisku;mini-pociskowi;mini-pocisk
lekki miotacz energetyczny;lekkiego miotacza energetycznego;lekkiemu miotaczowi energetycznemu;lekki miotacz energetyczny
mini-działko;mini-działka;mini-działku;mini-działko
autom. wieżyczka energetyczna;autom. wieżyczki energetycznej;autom. wieżyczce energetycznej;autom. wieżyczkę energetyczną
autom. wieżyczka inferno;autom. wieżyczki inferno;autom. wieżyczce inferno
wieżyczka z mini-działkiem;wieżyczki z mini-działkiem;wieżyczce z mini-działkiem;wieżyczkę z mini-działkiem
autom. moździerz;autom. moździerza;autom. moździerzowi;autom. moździerz

// Buildings_Misc.xml
kamień animus;kamienia animusa;kamieniu animusa;kamień animus
miejsce medytacji;miejsca medytacji;miejscu medytacji;miejsce medytacji
naturalna duża kapliczka;naturalnej dużej kapliczki;naturalnej dużej kapliczce;naturalną dużą kapliczkę
naturalna mała kapliczka;naturalnej małej kapliczki;naturalnej małej kapliczce;naturalną małą kapliczkę
nadajnik lądowania statku;nadajnika lądowania statku;nadajnikowi lądowania statku;nadajnik lądowania statku

// Buildings_MusicalInstruments.xml
harfa;harfy;harfie;harfę
klawesyn;klawesynu;klawesynowi;klawesyn
fortepian;fortepianu;fortepianowi;fortepian
niedokończony fortepian;niedokończonego fortepianu;niedokończonemu fortepianowi;niedokończony fortepian

// Plants_special.xml
podręczna osłona nisko-kątowa;podręcznej osłony nisko-kątowej;podręcznej osłonie nisko-kątowej
plecak skokowy-plecaka skokowego;plecakowi skokowemu;plecak skokowy

// Plants_special.xml
elteksowa jarmułka;elteksowej jarmułki;elteksowej jarmułce;elteksową jarmułkę
elteksowy hełm;elteksowej;elteksowej;elteksową
elteksowa szata;elteksowej szaty;elteksowej szacie;elteksową szatę
elteksowa koszulka;elteksowej koszulki;elteksowej koszulce;elteksową koszulkę
elteksowa kamizelka;elteksowej kamizelki;elteksowej kamizelce;elteksową kamizelkę

// Plants_special.xml
beret;beretu;beretowi;beret
peleryna;peleryny;pelerynie;pelerynę
diadem;diademu;diademowi;diadem
gorset;gorsetu;gorsetowi;gorset
korona;korony;koronie;koronę
gwiezdna korona;gwiezdnej korony;gwiezdnej koronie;gwiezdną koronę
kobiecy kapelusz;kobiecego kapelusza;kobiecemu kapeluszowi;kobiecy kapelusz
cylinder;cylindra;cylindrowi;cylinder
prestiżowa szata;prestiżowej szaty;prestiżowej szacie;prestiżową szatę
koszula formalna;koszuli formalnej;koszuli formalnej;koszulę formalną
kamizelka formalna;kamizelki formalnej;kamizelce formalnej;kamizelkę formalną

// Plants_special.xml
zbroja katafrakta;zbroi katafrakta;zbroi katafrakta;zbroję katafrakta
zbroja feniksa;zbroi feniksa;zbroi feniksa;zbroję feniksa
prestiżowa zbroja katafrakta;prestiżowej zbroi katafrakta;prestiżowej zbroi katafrakta;prestiżową zbroję katafrakta
hełm katafrakta;hełmu katafrakta;hełmowi katafrakta;hełm katafrakta
prestiżowy hełm katafrakta;prestiżowego hełmu katafrakta;prestiżowemu hełmowi katafrakta;prestiżowy hełm katafrakta
prestiżowy hełm zwiadowcy;prestiżowego hełmu zwiadowcy;prestiżowemu hełmowi zwiadowcy;prestiżowy hełm zwiadowcy
zbroja szarańczy;zbroi szarańczy;zbroi szarańczy;zbroję szarańczy
zbroja grenadiera;zbroi grenadiera;zbroi grenadiera;zbroje grenadiera
prestiżowy hełm marine;prestiżowego hełmu marine;prestiżowemu hełmowi marine;prestiżowy hełm marine
prestiżowa zbroja marine;prestiżowej zbroi marine;prestiżowej zbroi marine;prestiżową zbroję marine
prestiżowa zbroja zwiadowcy;prestiżowej zbroi zwiadowcy;prestiżowej zbroi zwiadowcy;prestiżową zbroję zwiadowcy
gunlink;gunlinka;gunlinkowi;gunlink
granat zapalający;granatu zapalającego;granatowi zapalającemu;granat zapalający
granat odłamkowy;granatu odłamkowego;granatowi odłamkowemu;granat zapalający

// Plants_Wild.xml
trawa anima;trawy anima;trawie anima;trawę anima
drzewo anima;drzewa anima;drzewu anima;drzewo anima

//-----------------------------------------
//---------- IDEOLOGY - ThingDef ----------
//-----------------------------------------
// Buildings_Ancient_Active.xml
starożytna konsola komunikacyjna;starożytnej konsoli komunikacyjnej;starożytnej konsoli komunikacyjnej;starożytną konsolę komunikacyjną
starożytny terminal wroga;starożytnego terminalu wroga;starożytnemu terminalowi wroga;starożytny terminal wroga
starożytny niestabilny węzeł paliwowy;starożytnego niestabilnego węzła paliwowego;starożytnemu niestabilnemu węzłowi paliwowemu;starożytny niestabilny węzeł paliwowy
hermetyczna skrzynia;hermetycznej skrzyni;hermetycznej skrzyni;hermetyczną skrzynię
skrzynka bezpieczeństwa;skrzynki bezpieczeństwa;skrzynce bezpieczeństwa;skrzynkę bezpieczeństwa
starożytny terminal;starożytnego terminalu;starożytnemu terminalowi;starożytny terminal

// Buildings_Ancient_Indoors.xml
starożytna beczka;starożytnej beczki;starożytnej beczce;starożytną beczkę
starożytne łóżko;starożytnego łóżka;starożytnemu łóżku;starożytne łóżko
starożytna skrzynia;starożytnej skrzyni;starożytnej skrzyni;starożytną skrzynię
starożytny wyświetlacz;starożytnego wyświetlacza;starożytnemu wyświetlaczowi;starożytny wyświetlacz
starożytne bloki wyposażenia;starożytnych bloków wyposażenia;starożytnym blokom wyposażenia;starożytne bloki wyposażenia
starożytny generator;starożytnego generatora;starożytnemu generatorowi;starożytny generator
starożytna lampa;starożytnej lampy;starożytnej lampie;starożytną lampę
starożytna szafka bankowa;starożytnej szafy bankowej;starożytnej szafie bankowej;starożytną szafę bankową
starożytna maszyna;starożytnej maszyny;starożytnej maszynie;starożytną maszynę
starożytna wojskowa skrzynia;starożytnej wojskowej skrzyni;starożytnej wojskowej skrzyni;starożytna wojskową skrzynię
starożytny stół operacyjny;starożytnego stołu operacyjnego;starożytnemu stołowi operacyjnemu;starożytny stół operacyjny
starożytna kosmiczna skrzynia;starożytnej kosmicznej skrzyni;starożytnej kosmicznej skrzyni;starożytną kosmiczną skrzynię
starożytny cylinder magazynowy;starożytnego cylindra magazynowego;starożytnemu cylindrowi magazynowemu;starożytny cylinder magazynowy
starożytny regał;starożytnego regału;starożytnemu regałowi;starożytny regał

// Buildings_Ancient_Outdoors.xml
starożytny klimatyzator;starożytnego klimatyzatora;starożytnemu klimatyzatorowi;starożytny klimatyzator
zrujnowany starożytny APC;zrujnowanego starożytnego APC;zrujnowanemu starożytnemu APC;zrujnowany starożytny APC
starożytny bankomat;starożytnego bankomatu;starożytnemu bankomatowi;starożytny bankomat
skorupa starożytnego wija;skorupy starożytnego wija;skorupie starożytnego wija;skorupę starożytnego wija
starożytny pojemnik;starożytnego pojemnika;starożytnemu pojemnikowi;starożytny pojemnik
silnik starożytnego transportowca;silnika starożytnego transportowca;silnikowi starożytnego transportowca;silnik starożytnego transportowca
starożytne ogrodzenie;starożytnego ogrodzenia;starożytnemu ogrodzeniu;starożytne ogrodzenie
wielkie starożytne koło;wielkiego starożytnego koła;wielkiemu starożytnemu kołu;wielkie starożytne koło
starożytny hydrant;starożytnego hydrantu;starożytnemu hydrantu;starożytny hydrant
starożytny silnik odrzutowy;starożytnego silnika odrzutowego;starożytnemu silnikowi odrzutowemu;starożytny silnik odrzutowy
starożytny zlew kuchenny;starożytnego zlewu kuchennego;starożytnemu zlewu kuchennemu;starożytny zlew kuchenny
duża starożytna skrzynia;dużej starożytnej skrzyni;dużej starożytnej skrzyni;dużą starożytną skrzynię
starożytny makro silnik;starożytnego makro silnika;starożytnemu makro silnikowi;starożytny makro silnik
długa starożytna skrzynia;długiej starożytnej skrzyni;długiej starożytnej skrzyni;długą starożytną skrzynię
blok starożytnego makro silnika;bloku starożytnego makro silnika;bloku starożytnego makro silnika;blok starożytnego makro silnika
podłużna starożytna skrzynia;podłużna starożytna skrzynia;podłużnej starożytnej skrzyni;podłużną starożytną skrzynię
powłoka starożytnego mechanoida;powłoki starożytnego mechanoida;powłoce starożytnego mechanoida;powłokę starożytnego mechanoida
starożytna latarnia zrzutów mechanoidów;starożytnej latarni zrzutów;starożytnej latarni zrzutów;starożytną latarnię zrzutów
lufa starożytnej mega armaty;lufy starożytnej mega armaty;lufie starożytnej mega armaty;lufę starożytnej mega armaty
platforma starożytnej mega armaty;platformy starożytnej mega armaty;platformie starożytnej mega armaty;platformę starożytnej mega armaty
starożytna mikrofalówka;starożytnej mikrofalówki;starożytnej mikrofalówce;starożytną mikrofalówkę
pozostałość starożyt. biegacza bojowego;pozostałości starożyt. biegacza bojowego;pozostałości starożyt. biegacza bojowego;pozostałość starożyt. biegacza bojowego
starożytny piekarnik;starożytnego piekarnika;starożytnemu piekarnikowi;starożytny piekarnik
odcinek starożytnego rurociągu;odcinka starożytnego rurociągu;odcinkowi starożytnemu rurociągu;odcinek starożytnego rurociągu
starożytne rury;starożytnych rur;starożytnym rurom;starożytne rury
starożytny samochód kapsułowy;starożytnego samochodu kapsułowego;starożytnemu samochodowi kapsułowemu;starożytny samochód kapsułowy
starożytna skrzynka pocztowa;starożytnej skrzynki pocztowej;starożytnej skrzynce pocztowej;starożytną skrzynkę pocztową
starożytny drut kolczasty;starożytnego druta kolczastego;starożytnemu drutu kolczastemu;starożytny drut kolczasty
starożytna lodówka;starożytnej lodówki;starożytnej lodówce;starożytną lodówkę
starożytny samochód;starożytnego samochodu;starożytnemu samochodowi;starożytny samochód
rama starożytnego samochodu;ramy starożytnego samochodu;ramie starożytnego samochodu;ramę starożytnego samochodu
starożytny transportowiec;starożytnego transportowca;starożytnemu transportowcowi;starożytny transportowiec
starożytny silnik;starożytnego silnika;starożytnemu silnikowi;starożytny silnik
starożytny transporter bojowy;starożytnego transportera bojowego;starożytnemu transporterowi bojowemu;starożytny transporter bojowy
starożytna ciężarówka;starożytnej ciężarówki;starożytnej ciężarówce;starożytną ciężarówkę
starożytna wieżyczka;starożytnej wieżyczki;starożytnej wieżyczce;starożytną wieżyczkę
starożytna latarnia nawigacyjna;starożytnej latarni nawigacyjnej;starożytnej latarni nawigacyjnej;starożytną latarnię nawigacyjną
starożytny wózek na zakupy;starożytnego wózka na zakupy;starożytnemu wózkowi na zakupy;starożytny wózek na zakupy
mała starożytna skrzynka;małej starożytnej skrzynki;małej starożytnej skrzynce;małą starożytną skrzynkę
starożytny piec;starożytnego pieca;starożytnemu piecu;starożytny piec
zniszczony starożytny czołg;zniszczonego starożytnego czołgu;zniszczonemu starożytnemu czołgowi;zniszczony starożytny czołg
starożytna pułapka czołgowa;starożytnej pułapki czołgowej;starożytnej pułapce czołgowej;starożytną pułapkę czołgową
starożytna toaleta;starożytnej toalety;starożytnej toalecie;starożytną toaletę
starożytny automat;starożytnego automatu;starożytnemu automatowi;starożytny automat
